dateCreated,hours,sessions,quotes,transactions,sessionConversion,quoteConversion
20/10/2024,13,345,188,17,0.0493,0.0904
20/10/2024,12,359,172,22,0.0613,0.1279
20/10/2024,11,314,163,18,0.0573,0.1104
20/10/2024,10,264,116,13,0.0492,0.1121
20/10/2024,9,263,106,14,0.0532,0.1321
20/10/2024,8,290,171,1,0.0034,0.0058
20/10/2024,7,142,30,1,0.007,0.0333
20/10/2024,6,113,13,0,0,0
20/10/2024,5,97,10,0,0,0
20/10/2024,4,101,7,0,0,0
20/10/2024,3,95,12,1,0.0105,0.0833
20/10/2024,2,128,15,0,0,0
20/10/2024,1,137,25,2,0.0146,0.08
20/10/2024,0,143,38,1,0.007,0.0263
21/10/2024,23,240,88,5,0.0208,0.0568
21/10/2024,22,308,155,18,0.0584,0.1161
21/10/2024,21,360,172,29,0.0806,0.1686
21/10/2024,20,400,191,30,0.075,0.1571
21/10/2024,19,339,153,19,0.056,0.1242
21/10/2024,18,407,206,35,0.086,0.1699
21/10/2024,17,556,263,53,0.0953,0.2015
21/10/2024,16,556,301,63,0.1133,0.2093
21/10/2024,15,609,324,75,0.1232,0.2315
21/10/2024,14,736,402,89,0.1209,0.2214
21/10/2024,13,645,403,83,0.1287,0.206
21/10/2024,12,576,315,66,0.1146,0.2095
21/10/2024,11,636,359,82,0.1289,0.2284
21/10/2024,10,670,384,93,0.1388,0.2422
21/10/2024,9,562,294,67,0.1192,0.2279
21/10/2024,8,1210,212,28,0.0231,0.1321
21/10/2024,7,236,71,12,0.0508,0.169
21/10/2024,6,158,33,6,0.038,0.1818
21/10/2024,5,133,31,1,0.0075,0.0323
21/10/2024,4,117,15,0,0,0
21/10/2024,3,115,16,4,0.0348,0.25
21/10/2024,2,124,22,2,0.0161,0.0909
21/10/2024,1,139,31,1,0.0072,0.0323
21/10/2024,0,163,56,6,0.0368,0.1071
22/10/2024,23,238,97,12,0.0504,0.1237
22/10/2024,22,296,134,20,0.0676,0.1493
22/10/2024,21,372,182,30,0.0806,0.1648
22/10/2024,20,355,185,24,0.0676,0.1297
22/10/2024,19,378,203,33,0.0873,0.1626
22/10/2024,18,433,195,31,0.0716,0.159
22/10/2024,17,469,243,37,0.0789,0.1523
22/10/2024,16,535,294,59,0.1103,0.2007
22/10/2024,15,567,294,57,0.1005,0.1939
22/10/2024,14,574,313,75,0.1307,0.2396
22/10/2024,13,597,327,64,0.1072,0.1957
22/10/2024,12,571,318,60,0.1051,0.1887
22/10/2024,11,674,340,81,0.1202,0.2382
22/10/2024,10,610,346,75,0.123,0.2168
22/10/2024,9,628,356,53,0.0844,0.1489
